     0     1   0.125000   48.10634
     1     1   0.550000   37.88759
     2     1   0.675000   24.73106
     3     1   0.800000   22.01826
     4     1   0.825000   17.09888
     5     1   0.900000   14.39136
     6     1   0.900000   13.73091
     7     1   0.900000    9.72222
     8     1   0.950000    7.89298
     9     1   0.925000    9.38002
    10     1   1.000000    3.72935
    20     1   1.000000    0.42453
    30     1   1.000000    0.06273
    40     1   1.000000    0.05991
    50     1   1.000000    0.11458
    60     1   1.000000    0.16890
    70     1   1.000000    0.01996
    80     1   1.000000    0.01489
    90     1   1.000000    0.02692
   100     2   1.000000    0.00381
   110     2   1.000000    0.00613
   120     2   1.000000    0.00435
   130     2   1.000000    0.01286
   140     2   1.000000    0.02691
   150     2   1.000000    0.01885
   160     2   1.000000    0.00520
   170     2   1.000000    0.00346
   180     2   1.000000    0.00661
   190     2   1.000000    0.00235
   200     3   1.000000    0.00192
   210     3   1.000000    0.00286
   220     3   1.000000    0.00816
   230     3   1.000000    0.00183
   240     3   1.000000    0.00395
   250     3   1.000000    0.00276
   260     3   1.000000    0.00160
   270     3   1.000000    0.01025
   280     3   1.000000    0.00111
   290     3   1.000000    0.00063
   300     4   1.000000    0.00106
   310     4   1.000000    0.00136
   320     4   1.000000    0.00511
   330     4   1.000000    0.00732
   340     4   1.000000    0.00349
   350     4   1.000000    0.00123
   360     4   1.000000    0.01502
   370     4   1.000000    0.00370
   380     4   1.000000    0.00328
   390     4   1.000000    0.01328
   400     5   1.000000    0.00134
   410     5   1.000000    0.00552
   420     5   1.000000    0.00324
   430     5   1.000000    0.00120
   440     5   1.000000    0.01764
   450     5   1.000000    0.00100
   460     5   1.000000    0.00141
   470     5   1.000000    0.00202
   480     5   1.000000    0.00078
   490     5   1.000000    0.00038
   500     6   1.000000    0.00138
   510     6   1.000000    0.00047
   520     6   1.000000    0.00035
   530     6   1.000000    0.00064
   540     6   1.000000    0.00234
   550     6   1.000000    0.00631
   560     6   1.000000    0.00092
   570     6   1.000000    0.00287
   580     6   1.000000    0.00287
   590     6   1.000000    0.00133
   600     7   1.000000    0.00101
   610     7   1.000000    0.00145
   620     7   1.000000    0.00227
   630     7   1.000000    0.00118
   640     7   1.000000    0.00114
   650     7   1.000000    0.00420
   660     7   1.000000    0.00057
   670     7   1.000000    0.00064
   680     7   1.000000    0.00063
   690     7   1.000000    0.00100
   700     8   1.000000    0.00120
   710     8   1.000000    0.00086
   720     8   1.000000    0.00285
   730     8   1.000000    0.00142
   740     8   1.000000    0.00298
   750     8   1.000000    0.00124
   760     8   1.000000    0.00018
